xi,log_likelihood,valid_matches
0.003,-2.9899444515852496,5601
0.0035,-2.990047041264608,5601
0.004,-2.9904129746136534,5601
0.0045000000000000005,-2.991042731649437,5601
0.005,-2.9919114807947595,5601
0.0055,-2.9929692693332175,5601
0.006,-2.994156083129914,5601
0.006500000000000001,-2.995417947637519,5601
0.007,-2.996715380427683,5601
0.007500000000000001,-2.998023983773633,5601
0.008,-2.9993309767024496,5601
0.0085,-3.0006310293257443,5601
0.009000000000000001,-3.0019229722421357,5601
0.009500000000000001,-3.003207664442957,5601
0.01,-3.004486776125123,5601
0.010499999999999999,-3.0057621603224343,5601
0.011,-3.007035561441468,5601
0.0115,-3.008308501166206,5601
0.012,-3.0095822509870125,5601
0.0125,-3.0108578432878317,5601
0.013000000000000001,-3.0121360969929483,5601
0.013500000000000002,-3.013417646546023,5601
0.013999999999999999,-3.0147029694522365,5601
0.014499999999999999,-3.01599241071981,5601
0.015,-3.017286203930614,5601
0.0155,-3.018584489222916,5601
0.016,-3.0198873286315275,5601
0.0165,-3.0211947192258584,5601
0.017,-3.0225066044221967,5601
0.0175,-3.023822883771183,5601
0.018,-3.025143421454179,5601
0.0185,-3.0264680536693453,5601
0.019,-3.0277965950480277,5601
0.0195,-3.0291288442142887,5601
0.02,-3.0304645885803922,5601
